ID                                       NAME
1af3cfd8-54e7-40a4-953b-85eda1bf9517     International Foods - Data Marts
26f129ef-81a6-4efd-8216-c283a316dc49     Retail Convenience
3ce7656d-f8c3-4f8a-a5ab-fd340d840e3e     Retail Convenience
598ab6e5-3ffe-479a-b9fb-e09d48dce22b     PT-BR - Gest├úo de Vendas e An├ílise de Clientes
b3d21d20-7466-4512-b4a7-f4c314a029c7     PT-BR - Leads de Marketing e Performance de Campanha
b0cb6da0-088e-4b47-9983-2d7606db7062     PT-BR - Servi├ºos a Clientes & Call Center
4c792ec0-ade4-4039-9919-3cb2a3b1736e     SAP Materials Management
8f96da6e-850e-4d64-917c-b4f82300df9a     NY Public Library v3
9fe73c2a-e537-482e-861b-6feaef64043e     NY public library v2
186e4e45-9faf-4b98-84ff-7db206a251ff     PT-BR - Opera├º├╡es, Pedidos e Log├¡sticas
09d909f6-eca6-417d-996a-df750579c51c     PT-BR - Performance de Vendas, Pipeline e Produtividade
b68636a0-4da7-475c-89cb-b105aaf69836     PT-BR - Painel Executivo
7eb8658a-2fa1-4dc2-b55b-0b03f50f4648     Python Linear Regression
a812b213-c7b6-4daf-b009-a1e23ac9b01f     51 - SAP - MM_AP - Painel
3a3aff9b-5f30-4a7b-9954-4872c8001535     Financetoolkit
11eb8b5b-21b1-4f1c-86a5-8523dd07f6ed     Whats New App - May 2022
04fef49f-d07e-409d-99b0-246f0868dc2c     An├ílise Movimento Banc├írio
91a9108e-d50d-4207-bb58-78ecc20a1de3     An├ílise Movimento Banc├írio
dcfcc7c3-7e9b-4f38-84e4-84aeab1b313b     Top 10 Viz Tips Part II
38c658fc-e1ea-4989-8687-4cc519d4315e     Consumer Finance
e64d0b70-78ca-4d83-8f25-88e7dd21550c     Tela de Rastrabilidade - QLIKVIEW
b3f23ba4-435a-4b96-81cb-22b016502228     Tela de Rastrabilidade
777f20b4-a125-4318-a614-710d1fe6ff8b     Churn Predictions
9c2f220e-9e9e-46fd-9aff-fc37fc3d605c     MySQL_Sakila
8a94b542-6b26-4ad0-b0a1-799134348a09     SAP Orders-to-Cash Analytics (Snowflake Demo)
b40fbaee-c98f-4be7-9a7c-8ea51fab237d     SAP Orders to Cash (Denormalize Snowflake)
5fef4e80-93a9-46ef-a870-4c8bbc26b13c     SAP Orders to Cash (Data Load Snowflake)
d6ead7c8-917b-452a-ae92-2e5232d5dfba     HMD60 - PM - Performance M├⌐dica Junho2021
98a54e38-3c90-4c3e-a82c-63554e655999     HMD110 - RR - Rede de Relacionamento M├⌐dico
54afd299-8715-4566-a4f6-b9231fa8a41c     Lab 2 Analysis - SL100 QVD
3fcaeaa9-1ba3-4c0a-b454-d3df384b996e     Estoque
da2c3114-0524-4361-9705-a386a9e5baee     30 - PROTHEUS - CONTABILIDADE
8b62357b-0dbf-445d-9277-9e5260fa60e8     00-Gera Contas
6ecf95d3-bb0d-4452-9712-c2e5743ca59d     Lab 1 Analysis - SL10 QVD
860f29a5-62b1-46aa-be84-f1950d1ac8cc     01.03_RH_Painel
fb7db7d2-f605-48a0-b077-3e23193497d0     Lab 4a. Selection - SL100 SNOWFLAKE
65079d47-2bf8-4dd8-8ac6-cbd97c9fb3a8     QLIK_TB_TRACKRESPOSTAS
bb9f4796-36bf-4e9a-8216-4166497a8e4e     Whats New App - May 2022
4b10aa41-0f75-4fb7-939d-3b1fb129b316     Lab 3b. Analysis - SL100 QVD
473cacef-4fdd-4876-aeec-4a2c927d7780     Top 10 Viz Tips Part II
cbdfc068-6337-42f7-b902-6747b370e5e1     TestesValorAtual
fecebf46-92e0-46b6-a9db-eb2f57c41cf7     51-100 - Gera Tabelas Movimento Banc├írio
18e06b19-9f63-4ce9-bb19-1517496677f5     QLIK_VW_CICLOPAGAMENTO
69432c23-7fa8-49cc-b438-5cfe1c4ada5b     Tree Layout Extension Examples
511d1a3d-2ef8-4abf-81b9-7a8c31273928     HMD110 - RR -Transformador Rede de Relacionamento
3a9d3ed0-fdc6-43b0-870c-347dfaa49648     Lab 3a. Selection - SL100 QVD
902245d6-4c10-474e-aa24-e4fff7ae8ce2     Help_Alan
374202e6-049b-4baa-9cf3-947e1302eeaf     POC-UnimedBH
dd6a001f-7a27-427a-9d88-43336cdbeea2     1-50 - Gera Tabelas Movimento Banc├írio
79ebb0de-81a2-4046-9cfa-eb68154396a7     79ebb0de-81a2-4046-9cfa-eb68154396a7
cffaf8f6-f183-4d99-b222-f4972ec6e6c3     01 - Gera Tabelas Movimento Banc├írio
5024bf82-c166-4f88-99fd-80a89a0e44f6     Ranking com Filtro
69f05ce2-76ce-4e10-a18e-ff3d21b490da     ComercioRoupas
ed38dc3e-56dc-4560-8d4d-1da842fda496     X
3c112f2d-d6b2-4060-8fba-b8539a8d6e22     POC-AAI
78a22d2b-9cb6-4e3c-8ade-fc3f71456202     Le Miserable
7c7ef197-25a1-4215-b9d7-2c4439a0c460     Base_Help2.xlsx
f2b9c0be-3bbc-45d4-9ba8-e2c7808d865a     003 - RIGF - FATO_LKT(1)
ebeb38a0-416b-4079-b576-c1dd113ded72     Help_Alan.qvw
eb8a59de-5b33-4350-84dd-ab233ca96a1d     TESTES GOOGLE SHEET
7b73a3d4-876c-4a72-902e-5152ddc00b04     Linear trendline
12126e9e-db91-4e54-a26a-c477d8a49532     201-250 - Gera Tabelas Movimento Banc├írio
b0c06e60-44df-43ad-801f-53a8ddeb3149     HMD60 - PM -Transformador Performance M├⌐dica Junho2021
bdcc8319-dd6c-4e9b-8346-c3cc157027a9     SaaS Data Space Analyzer v02
737045a0-1a15-482f-a950-3676a19f4e66     CentralityX Tutorial
5013c5bf-201d-4914-8e6b-618c387fef0b     Lab 4b Analysis - SL100 SNOWFLAKE
75412990-62b0-4812-9e41-3f2b2010a962     Monitoring SaaS Sessions
97f08376-9189-4db0-a712-5149d13862f4     151-200 - Gera Tabelas Movimento Banc├írio
e9818054-3c29-4455-87f6-b630be81ac70     101-150 - Gera Tabelas Movimento Banc├írio
59113a73-eb3a-42ea-bf62-a38ee1286d3c     R_Plugin_TimeSeriesAnalysis_3_2_SR3
fc4cd40a-422a-4e56-93f7-f64ba0506a26     fc4cd40a-422a-4e56-93f7-f64ba0506a26
e709d810-7439-4183-9714-3302be7d0da2     SaaS Data Space Analyzer
ab1e2074-728f-4513-a1ed-dc8d89270244     Trendlines
6b9ff2ee-b080-45a0-b754-87b41e92e99f     An├ílise Corpo Cl├¡nico
a1f8f2a0-9d0d-4a25-91aa-ed16bf59688c     C├│pia - HMD40 - MD - Medicina Diagn├│stica
1697b99d-0db5-4e67-af96-6e9a878acd59     Legal Intelligence
8ae11480-cd91-49a9-bd35-f28de19ff551     CMS Open Payments
8dc3750f-1be8-4a65-8cf4-4782efe99196     GeoOperationsHandsOn_Qlik_World_2021
b222b301-724c-41a4-a170-5ece3191b557     NY Public Library v3
